info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,158980228919083,158980287182083,1,1,parser,,0,1,main,58263000,0,53277000,51326000,6101880,36605816 
GC,158980387573916,158980392573916,634, 638,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,158980418046500,158980423046500,670, 674,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,158980565666833,158980568666833,817, 819,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
MAIN,158980288154625,158980827453166,1,2,typer,,0,1,main,539298541,0,483123000,474029000,52163248,34097392 
MAIN,158980827557833,158980827745291,1,3,inlinedPositions,,0,1,main,187458,0,187000,184000,26992,34097392 
MAIN,158980827802625,158980913142083,1,6,posttyper,,0,1,main,85339458,0,65037000,62896000,7293824,42486000 
MAIN,158980913215875,158980913266166,1,7,unrollDefs,,0,1,main,50291,0,51000,47000,2160,42486000 
GC,158980925441083,158980928441083,1177, 1179,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158980913303083,158980970912208,1,9,pickler,,0,1,main,57609125,0,31987000,31530000,7919216,29261824 
MAIN,158980970990333,158980971036500,1,11,inlining,,0,1,main,46167,0,46000,44000,2160,29261824 
MAIN,158980971064250,158980971090291,1,12,postInlining,,0,1,main,26041,0,25000,25000,18112,29261824 
MAIN,158980972023291,158980972064750,1,13,staging,,0,1,main,41459,0,41000,37000,2160,29261824 
MAIN,158980972090041,158980972113125,1,14,splicing,,0,1,main,23084,0,23000,22000,2160,29261824 
MAIN,158980972133458,158980972156083,1,15,pickleQuotes,,0,1,main,22625,0,23000,21000,2160,29261824 
MAIN,158980972179416,158981019770083,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,47590667,0,43516000,43123000,3783344,37650432 
MAIN,158981019855083,158981041349250,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,21494167,0,18969000,18243000,1101376,37650432 
MAIN,158981041466250,158981051500041,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,10033791,0,9614000,9431000,463064,37650432 
MAIN,158981051580833,158981063172791,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,11591958,0,11230000,11084000,596096,37650432 
GC,158981106984833,158981110984833,1359, 1362,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158981063259833,158981134191666,1,65,erasure,,0,1,main,70931833,0,63676000,62736000,15480768,33967616 
MAIN,158981134259583,158981173591625,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,39332042,0,27312000,26215000,2901088,33967616 
MAIN,158981173679291,158981183331916,1,79,constructors,,0,1,main,9652625,0,6543000,6447000,767296,38161920 
MAIN,158981183390375,158981207822583,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,24432208,0,16703000,16122000,1609552,38161920 
MAIN,158981207889041,158981214708875,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,6819834,0,6165000,6041000,560848,38161920 
GC,158981300572125,158981305572125,1552, 1556,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158981214770083,158981378666083,1,95,genBCode,,0,1,main,163896000,0,129987000,125971000,14800624,41293696 
