info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,130576583242666,130576627775291,1,1,parser,,0,1,main,44532625,0,42576000,40848000,5868824,36573664 
GC,130576736049416,130576740049416,632, 635,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,130576762787000,130576767787000,665, 669,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,130576929892916,130576932892916,832, 834,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
GC,130577199599041,130577205599041,1102, 1107,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,130576628724000,130577425655208,1,2,typer,,0,1,main,796931208,0,716984000,701622000,104144160,64349696 
MAIN,130577425776833,130577425959291,1,3,inlinedPositions,,0,1,main,182458,0,183000,173000,26112,64349696 
MAIN,130577426019208,130577511098583,1,6,posttyper,,0,1,main,85079375,0,66819000,64557000,6972424,72738304 
MAIN,130577511174416,130577511221500,1,7,unrollDefs,,0,1,main,47084,0,48000,43000,2160,72738304 
GC,130577516708833,130577522708833,1419, 1424,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,130577511262833,130577568635541,1,9,pickler,,0,1,main,57372708,0,29363000,28864000,7478232,34538296 
MAIN,130577568710041,130577568751833,1,11,inlining,,0,1,main,41792,0,41000,40000,2160,34538296 
MAIN,130577568784833,130577568808750,1,12,postInlining,,0,1,main,23917,0,24000,22000,18112,34538296 
MAIN,130577569721541,130577569756041,1,13,staging,,0,1,main,34500,0,34000,32000,2160,34538296 
MAIN,130577569778916,130577569801333,1,14,splicing,,0,1,main,22417,0,22000,22000,2160,34538296 
MAIN,130577569822708,130577569844833,1,15,pickleQuotes,,0,1,main,22125,0,22000,21000,2160,34538296 
MAIN,130577569867000,130577638049958,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,68182958,0,50567000,50263000,4243752,38732600 
MAIN,130577638124916,130577656011000,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,17886084,0,15586000,15479000,1210808,42926904 
MAIN,130577656088083,130577656130625,1,39,setupCC,,0,1,main,42542,0,43000,39000,2160,42926904 
GC,130577864550458,130577871550458,1767, 1773,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,130578039612708,130578046612708,1942, 1948,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,130578135426416,130578141426416,2038, 2043,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,130577656158750,130578207307291,1,40,cc,,0,1,main,551148541,0,494024000,487407000,144248024,62353184 
MAIN,130578207376208,130578207417791,1,41,setupEff,,0,1,main,41583,0,42000,39000,2160,62353184 
GC,130578287999791,130578293999791,2191, 2196,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,130578391193375,130578397193375,2294, 2299,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,130578484644791,130578489644791,2387, 2391,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
GC,130578557510416,130578564510416,2460, 2466,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,130578207445041,130578596725750,1,42,eff,,0,1,main,389280709,0,361651000,355640000,257190352,100449280 
MAIN,130578596792833,130578608074708,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,11281875,0,8860000,8709000,577448,100449280 
MAIN,130578608135458,130578622317916,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,14182458,0,11586000,10749000,753392,100449280 
MAIN,130578622382291,130578683008125,1,65,erasure,,0,1,main,60625834,0,56076000,54338000,13517864,117226496 
MAIN,130578683079250,130578728229416,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,45150166,0,33772000,32563000,2508928,117226496 
MAIN,130578728308750,130578734550666,1,79,constructors,,0,1,main,6241916,0,5779000,5657000,443800,117226496 
MAIN,130578734623208,130578814010166,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,79386958,0,72836000,70622000,18959920,138198016 
MAIN,130578814083500,130578832539291,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,18455791,0,18044000,17842000,662232,138198016 
GC,130578984277250,130578992277250,2887, 2894,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,130578832608833,130579120440125,1,95,genBCode,,0,1,main,287831292,0,238639000,233451000,50487312,110272512 
