info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,136030776904750,136030818369166,1,1,parser,,0,1,main,41464416,0,40225000,38729000,5541360,36608984 
GC,136030936057500,136030940057500,681, 684,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,136030961019208,136030966019208,710, 714,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,136030820559166,136031091258958,1,2,typer,,0,1,main,270699792,0,250867000,242735000,30700744,28891576 
MAIN,136031091348333,136031091523500,1,3,inlinedPositions,,0,1,main,175167,0,175000,172000,26960,28891576 
GC,136031108044416,136031111044416,858, 860,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
MAIN,136031091572875,136031159562916,1,6,posttyper,,0,1,main,67990041,0,38275000,37209000,5856128,24680568 
MAIN,136031159674333,136031159741000,1,7,unrollDefs,,0,1,main,66667,0,66000,64000,2160,24680568 
MAIN,136031159783958,136031183251541,1,9,pickler,,0,1,main,23467583,0,22506000,21899000,7504688,33069176 
MAIN,136031183353291,136031183400458,1,11,inlining,,0,1,main,47167,0,47000,45000,2160,33069176 
MAIN,136031183429750,136031183454416,1,12,postInlining,,0,1,main,24666,0,24000,24000,18112,33069176 
MAIN,136031184493791,136031184536750,1,13,staging,,0,1,main,42959,0,43000,40000,2160,33069176 
MAIN,136031184561750,136031184585416,1,14,splicing,,0,1,main,23666,0,23000,23000,2160,33069176 
MAIN,136031184605750,136031184628458,1,15,pickleQuotes,,0,1,main,22708,0,23000,21000,2160,33069176 
MAIN,136031184652416,136031230792958,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,46140542,0,28207000,27840000,2590432,33069176 
MAIN,136031230862208,136031241395750,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,10533542,0,8960000,8821000,720968,33069176 
MAIN,136031241473625,136031245832416,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,4358791,0,3201000,3170000,126360,37263480 
MAIN,136031245872500,136031253623875,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,7751375,0,6238000,6180000,326224,37263480 
GC,136031296095458,136031301095458,1047, 1051,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,136031253712833,136031333057166,1,65,erasure,,0,1,main,79344333,0,70846000,69158000,16854144,32825856 
MAIN,136031333118500,136031364278333,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,31159833,0,26297000,25316000,3045640,32825856 
MAIN,136031364354791,136031373807875,1,79,constructors,,0,1,main,9453084,0,7117000,6856000,734000,37020160 
MAIN,136031373868333,136031390417833,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,16549500,0,14595000,14416000,1817256,37020160 
MAIN,136031390478541,136031398851916,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,8373375,0,4696000,4652000,535264,37020160 
MAIN,136031398906458,136031544420291,1,95,genBCode,,0,1,main,145513833,0,130360000,125532000,14363120,53797376 
