info, 1, version, 2, output, /Users/craig/rt-workspace/scala3/compiler/../out/default-last-scalac-out.jar
header(main/background),startNs,endNs,runId,phaseId,phaseName,purpose,task-count,threadId,threadName,runNs,idleNs,cpuTimeNs,userTimeNs,allocatedByte,heapSize
header(GC),startNs,endNs,startMs,endMs,name,action,cause,threads
MAIN,158490140042250,158490181070375,1,1,parser,,0,1,main,41028125,0,39729000,38178000,5542200,36634120 
GC,158490295163833,158490300163833,616, 620,G1 Young Generation,end of minor GC,G1 Preventive Collection,5
GC,158490321134125,158490326134125,648, 652,G1 Young Generation,end of minor GC,G1 Evacuation Pause,5
MAIN,158490183384791,158490475183500,1,2,typer,,0,1,main,291798709,0,261309000,253652000,30593104,24930328 
MAIN,158490475274666,158490475448500,1,3,inlinedPositions,,0,1,main,173834,0,173000,169000,26080,24930328 
GC,158490487129416,158490490129416,814, 816,G1 Young Generation,end of minor GC,Metadata GC Threshold,5
MAIN,158490475511291,158490538657833,1,6,posttyper,,0,1,main,63146542,0,35785000,34989000,5808472,24663904 
MAIN,158490538754041,158490538811541,1,7,unrollDefs,,0,1,main,57500,0,57000,52000,2160,24663904 
MAIN,158490538852083,158490595087000,1,9,pickler,,0,1,main,56234917,0,29956000,28095000,7483768,28858208 
MAIN,158490595162875,158490595206875,1,11,inlining,,0,1,main,44000,0,45000,42000,2160,28858208 
MAIN,158490595230875,158490595255208,1,12,postInlining,,0,1,main,24333,0,25000,23000,18112,28858208 
MAIN,158490596136416,158490596171458,1,13,staging,,0,1,main,35042,0,35000,33000,2160,28858208 
MAIN,158490596194375,158490596218708,1,14,splicing,,0,1,main,24333,0,25000,23000,2160,28858208 
MAIN,158490596240291,158490596265625,1,15,pickleQuotes,,0,1,main,25334,0,25000,23000,2160,28858208 
MAIN,158490596292583,158490624979625,1,16,MegaPhase{crossVersionChecks  firstTransform  checkReentrant  elimPackagePrefixes  cookComments  checkLoopingImplicits  betaReduce  inlineVals  expandSAMs  elimRepeated  refchecks  dropForMap},,0,1,main,28687042,0,27943000,27203000,2542512,28858208 
MAIN,158490625042250,158490637275041,1,29,MegaPhase{protectedAccessors  extmethods  uncacheGivenAliases  checkStatic  elimByName  hoistSuperArgs  forwardDepChecks  specializeApplyMethods  tryCatchPatterns  patternMatcher},,0,1,main,12232791,0,9058000,8858000,710544,33052512 
MAIN,158490637345583,158490640336541,1,43,MegaPhase{elimOpaque  explicitOuter  explicitSelf  interpolators  dropBreaks},,0,1,main,2990958,0,2959000,2889000,126064,33052512 
MAIN,158490640376875,158490645149416,1,48,MegaPhase{pruneErasedDefs  uninitialized  inlinePatterns  vcInlineMethods  seqLiterals  intercepted  getters  specializeFunctions  specializeTuples  collectNullableFields  elimOuterSelect  resolveSuper  functionXXLForwarders  paramForwarding  genericTuples  letOverApply  arrayConstructors},,0,1,main,4772541,0,4649000,4555000,319704,33052512 
MAIN,158490645190791,158490720842500,1,65,erasure,,0,1,main,75651709,0,64607000,62235000,16883440,49829728 
MAIN,158490720928875,158490761296500,1,66,MegaPhase{elimErasedValueType  pureStats  vcElideAllocations  etaReduce  arrayApply  elimPolyFunction  tailrec  completeJavaEnums  mixin  lazyVals  memoize  nonLocalReturns  capturedVars},,0,1,main,40367625,0,28585000,26910000,3005000,54024032 
MAIN,158490761364250,158490779358166,1,79,constructors,,0,1,main,17993916,0,7279000,7074000,729512,54024032 
MAIN,158490779425916,158490824517625,1,80,MegaPhase{lambdaLift  elimStaticThis  countOuterAccesses},,0,1,main,45091709,0,27669000,26341000,1796656,54024032 
MAIN,158490824589166,158490830630208,1,83,MegaPhase{dropOuterAccessors  dropParentRefinements  checkNoSuperThis  flatten  transformWildcards  moveStatic  expandPrivate  restoreScopes  selectStatic  Collect entry points  collectSuperCalls  repeatableAnnotations},,0,1,main,6041042,0,5286000,5167000,524160,54024032 
MAIN,158490830691791,158490989879166,1,95,genBCode,,0,1,main,159187375,0,137184000,132506000,14278752,70801248 
